FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-117.800000;-;-;-;-0.900000;-0.900000;-;
0;-;0.300000;-118.460000;-;-;-;-0.900000;-0.630000;-;
0;-;0.500000;-118.900000;-;-;-;-0.900000;-0.450000;-;
0;-;0.700000;-119.340000;-;-;-;-0.900000;-0.270000;-;
0;-;1.000000;-120.000000;-;-;-;-0.900000;0.000000;-;
1;0;0.000000;-117.811766;-;-;-;-0.900000;-0.895186;-;
1;1;0.500000;-118.764660;-;-;-;-0.900000;-0.505366;-;
1;1;2.000000;-118.396309;-;-;-;-0.900000;-0.656055;-;
1;1;5.000000;-117.971059;-;-;-;-0.900000;-0.830021;-;
1;1;10.000000;-117.815528;-;-;-;-0.900000;-0.893648;-;
1;2;0.500000;-117.814932;-;-;-;-0.900000;-0.893891;-;
1;2;2.000000;-117.827071;-;-;-;-0.900000;-0.888925;-;
1;2;5.000000;-117.858446;-;-;-;-0.900000;-0.876090;-;
1;2;10.000000;-117.914579;-;-;-;-0.900000;-0.853127;-;
1;3;0.500000;-117.809081;-;-;-;-0.900000;-0.896285;-;
1;3;2.000000;-117.803703;-;-;-;-0.900000;-0.898485;-;
1;3;5.000000;-117.800404;-;-;-;-0.900000;-0.899835;-;
1;3;10.000000;-117.800005;-;-;-;-0.900000;-0.899998;-;
1;4;2.000000;-117.823470;-;-;-;-0.900000;-0.890399;-;
1;4;5.000000;-117.858206;-;-;-;-0.900000;-0.876188;-;
1;4;10.000000;-117.914873;-;-;-;-0.900000;-0.853007;-;
1;5;2.000000;-117.800063;-;-;-;-0.900000;-0.899974;-;
1;5;5.000000;-117.800000;-;-;-;-0.900000;-0.900000;-;
1;5;10.000000;-117.800000;-;-;-;-0.900000;-0.900000;-;
2;0;0/0.000000;-118.899009;0.000010;1.000000;0.999971;-0.900000;-0.450405;0.000002;
2;1;-1/1.000000;-118.537523;0.000007;1.000000;0.999966;-0.900000;-0.598286;0.000001;
2;2;-1/0.500000;-118.809106;0.000010;1.000000;0.999971;-0.900000;-0.487184;0.000002;
2;2;-1/2.000000;-118.559494;0.000008;1.000000;0.999967;-0.900000;-0.589298;0.000001;
2;2;-1/5.000000;-118.230132;0.000004;1.000000;0.999962;-0.900000;-0.724037;0.000001;
2;2;-1/10.000000;-118.022893;0.000001;1.000000;0.999964;-0.900000;-0.808817;0.000000;
2;2;-1/20.000000;-117.911504;0.000000;1.000000;0.999963;-0.900000;-0.854385;0.000000;
2;2;-1/40.000000;-117.855752;0.000000;1.000000;0.999963;-0.900000;-0.877192;0.000000;
2;2;-1/80.000000;-117.827876;0.000000;1.000000;0.999963;-0.900000;-0.888596;0.000000;
2;3;-1/1.000000;-118.352037;0.000005;1.000000;0.999965;-0.900000;-0.674167;0.000001;
2;3;-1/2.000000;-118.242512;0.000003;1.000000;0.999964;-0.900000;-0.718973;0.000001;
2;3;-1/5.000000;-118.077395;0.000002;1.000000;0.999963;-0.900000;-0.786520;0.000000;
2;3;-1/10.000000;-117.971029;0.000001;1.000000;0.999963;-0.900000;-0.830034;0.000000;
2;3;-1/20.000000;-117.896795;0.000000;1.000000;0.999963;-0.900000;-0.860402;0.000000;
2;4;-1/1.000000;-118.536218;0.000007;1.000000;0.999966;-0.900000;-0.598820;0.000001;
2;4;-1/2.000000;-118.681738;0.000008;1.000000;0.999968;-0.900000;-0.539289;0.000001;
2;4;-1/5.000000;-118.800393;0.000009;1.000000;0.999970;-0.900000;-0.490748;0.000002;
2;4;-1/10.000000;-118.847382;0.000010;1.000000;0.999971;-0.900000;-0.471526;0.000002;
2;4;-1/20.000000;-118.872574;0.000010;1.000000;0.999971;-0.900000;-0.461220;0.000002;

